Title,Abstract
"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, using cellular automata and Markov chain","Rapid urbanization is changing landscapes often resulting in the degradation of ecosystem services and quality of urban life. Remote sensing and GIS tools can provide valuable information to deepen our understanding of the dynamics of these changes to better plan and build sustainable cities for the future. Using remote sensing data, socio-economic data, and field observations, we simulated spatiotemporal dynamics of land use and land cover changes in the city of Thimphu. Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050. The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground. On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%). Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes. These changes have fragmentated forest cover, increased soil/gully erosion, surface runoff, and storm induced floods of storm and sanitation drains, thereby impinging on the overall quality of life in the city. Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city. These findings beg for an urgent need to implement effective planning specially to protect the existing forest and water resources from further degradation."
Environmental & Socio-economic Studies,"Land-use change is a human process aimed at transforming the natural landscape and emphasizing the role and function of land for socio-economic activities. However, we do not know how the land transition in Vietnam has been proceeding recently. Thus, this article aims to examine the current urbanization process of land conversion in Vietnam. To explore the current situation and recent change of land use, the author analyzed standardized databases and maps from reports of the Ministry of Natural Resources and Environment of Vietnam (MoNRE), the General Statistics Office of Vietnam (GSO), and the land cover map of Japan Aerospace Exploration Agency (JAXA). Research results show that the land transition in Vietnam has been similar to the world trend. The highest land conversion rate occurs in the North Central and Central Coast regions, but conversion of agricultural land for urbanization is mainly in the Red River Delta and Southeast. The study also noted some negative socio-economic impacts of land conversion on the lives of suburban residents."
Land-use change and biodiversity: Challenges for assembling evidence on the greatest threat to nature,"Land-use change is considered the greatest threat to nature, having caused worldwide declines in the abundance, diversity, and health of species and ecosystems. Despite increasing research on this global change driver, there are still challenges to forming an effective synthesis. The estimated impact of land-use change on biodiversity can depend on location, research methods, and taxonomic focus, with recent global metaanalyses reaching disparate conclusions. Here, we critically appraise this research body and our ability to reach a reliable consensus. We employ named entity recognition to analyze more than 4000 abstracts, alongside full reading of 100 randomly selected papers. We highlight the broad range of study designs and methodologies used; the most common being local space-for-time comparisons that classify land use in situ. Species metrics including abundance, distribution, and diversity were measured more frequently than complex responses such as demography, vital rates, and behavior. We identified taxonomic biases, with vertebrates well represented while detritivores were largely missing. Omitting this group may hinder our understanding of how land-use change affects ecosystem feedback. Research was heavily biased toward temperate forested biomes in North America and Europe, with warmer regions being acutely underrepresented despite offering potential insights into the future effects of land-use change under novel climates. Various land-use histories were covered, although more research in understudied regions including Africa and the Middle East is required to capture regional differences in the form of current and historical land-use practices. Failure to address these challenges will impede our global understanding of land-use change impacts on biodiversity, limit the reliability of future projections and have repercussions for the conservation of threatened species.
Beyond identifying literature biases, we highlight the research priorities and data gaps that need urgent attention and offer perspectives on how to move forward."
Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,"As an important production base for livestock and a unique ecological zone in China, the northeast Tibetan Plateau has experienced dramatic land use/land cover (LULC) changes with increasing human activities and continuous climate change. However, extensive cloud cover limits the ability of optical remote sensing satellites to monitor accurately LULC changes in this area. To overcome this problem in LULC mapping in the Ganan Prefecture, 2000-2018, we used the dense time stacking of multi-temporal Landsat images and random forest algorithm based on the Google Earth Engine (GEE) platform. The dynamic trends of LULC changes were analyzed, and geographical detectors quantitatively evaluated the key driving factors of these changes. The results showed that (1) the overall classification accuracy varied between 89.14% and 91.41%, and the kappa values were greater than 86.55%, indicating that the classification results were reliably accurate. (2) The major LULC types in the study area were grassland and forest, and their area accounted for 50% and 25%, respectively. During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees. The land-use intensity presents multi-level intensity, and it was higher in the northeast than that in the southwest. (3) Elevation and population density were the major driving factors of LULC changes, and economic development has also significantly affected LULC. These findings revealed the main factors driving LULC changes in Gannan Prefecture and provided a reference for assisting in the development of sustainable land management and ecological protection policy decisions."
"Application of Remote Sensing Tools to Assess the Land Use and Land Cover Change in Coatzacoalcos, Veracruz, Mexico","Land use and land cover (LULC) change has become an important research topic for global environmental change and sustainable development. As an important part of worldwide land conservation, sustainable development and management of water resources, developing countries must ensure the use of innovative technology and tools that support their various decision making systems. This study provides the most recent LULC change analysis for the last six years (2015-2021) of Coatzacoalcos, Veracruz, Mexico, one of the most important petrochemical cities in the world and host of the ongoing Interoceanic Corridor project. The analysis was carried out using Landsat 8 Operational Land Imager (OLI) satellite images, ancillary data and ground-based surveys and the Normalized Difference Vegetation Index (NDVI) to identify and to ameliorate the discrimination between four main macro-classes and fourteen classes. The LULC classification was performed using the maximum likelihood classifier (MLC) to produce maps for each year, as it was found to be the best approach when compared to minimum distance (MDM) and spectral angle mapping (SAM) methods. The macro-classes were water, built-up, vegetation and bare soil, whereas the classes were an improved classification within those. Our study achieved both user accuracy (UA) and producer accuracy (PA) above 90% for the proposed macro-classes and classes. The average Kappa coefficient for macro-classes was 0.93, while for classes it was 0.96, both comparable to previous studies. The results from the LULC analysis show that residential, industry and commercial areas slowed down their growth throughout the study period. These changes were associated with socioeconomical drivers such as insecurity and lack of economic investments. Groves and trees presented steady behaviors, with small increments during the five-year period. Swamps, on the other hand, significantly degraded, being about 2% of the study area in 2015 and 0.93% in 2021. Dunes and medium and high vegetation densities (∼ 80%) transitioned mostly to low vegetation densities. This behavior is associated with rainfall below the annual reference and increments of surface runoff due to the loss of vegetation cover. Lastly, the present study seeks to highlight the importance of remote sensing for a better understanding of the dynamics between human-nature interactions and to provide information to assist planners and decision-makers for more sustainable land development."
Detecting land use and land cover change on Barbuda before and after the Hurricane Irma with respect to potential land grabbing: A combined volunteered geographic information and multi sensor approach,"Two months after the hurricanes Irma and Maria hit Barbuda, the construction of a new international airport led to accusations of degrading the Codrington Lagoon National Park and contravening the conventions of the Ramsar Program. Scientists have analyzed the aftermath with respect to historical legacies, disaster capitalism, manifestation of climate injustices and green gentrification. The main objective of this study was to quantify and allocate land use and land cover change (LULCC) in Barbuda before and after the 2017 Hurricane disasters. Remote sensing data and volunteered geographic information were analyzed to detect the potential changes in natural LULC so that human activities and the emergence of artificial surfaces could be detected. Human-induced LULCC occurred at different sites on the island, with decreased activities in Codrington, but increased and continued activities at Coco and Palmetto Points. With an accuracy of 97.1 %, we estimated a total increase of vegetated areas by 6.56 km 2 , and a simultaneous slight increase in roads and buildings with a total length of 249.67 km and a total area of 1.43 km 2 . The vegetation condition itself depict a steady decrease since 2017. New hotspots of human activity emerged on the island in the Codrington Lagoon National Park."
Land Use and Land Cover Change Modeling and Future Potential Landscape Risk Assessment Using Markov-CA Model and Analytical Hierarchy Process,"Land use and land cover change (LULCC) has directly played an important role in the observed climate change. In this paper, we considered Dujiangyan City and its environs (DCEN) to study the future scenario in the years 2025, 2030, and 2040 based on the 2018 simulation results from 2007 and 2018 LULC maps. This study evaluates the spatial and temporal variations of future LULCC, including the future potential landscape risk (FPLR) area of the 2008 great (8.0 M w ) earthquake of south-west China. The Cellular automata-Markov chain (CA-Markov) model and multicriteria based analytical hierarchy process (MC-AHP) approach have been considered using the integration of remote sensing and GIS techniques. The analysis shows future LULC scenario in the years 2025, 2030, and 2040 along with the FPLR pattern. Based on the results of the future LULCC and FPLR scenarios, we have provided suggestions for the development in the close proximity of the fault lines for the future strong magnitude earthquakes. Our results suggest a better and safe planning approach in the Belt and Road Corridor (BRC) of China to control future Silk-Road Disaster, which will also be useful to urban planners for urban development in a safe and sustainable manner."
"Assessing the Effect of Land-Use and Land-Cover Changes on Discharge and Sediment Yield in a Rural Coal-Mine Dominated Watershed in Kentucky, USA","The Appalachian Mountain region of eastern Kentucky is unique and contains high proportions of forestland along with coal and natural gas depositaries. Landscape changes due to extreme mining activities can eventually threaten the downstream ecosystems, including soil and water quality, resulting in excessive runoff and sedimentation. The purpose of this study is to assess the impacts of land-use and land-cover (LULC) changes in streamflow and sediment yield in Yellow Creek Watershed, Kentucky, USA, between 1992 and 2016. LULC, digital elevation model, soil, and weather data were inputted into the Soil and Water Assessment Tool (SWAT) to simulate discharge and sediment yield. The model output was evaluated on several statistical parameters, such as the Nash-Sutcliffe efficiency coefficient (NSE), RMSE-observations standard deviation ratio (RSR), percent bias (PBIAS), and the coefficient of determination (R 2 ). In addition, two indices, P-factor and R-factor, were used to measure the prediction uncertainty. The calibrated model showed an increase in surface runoff and sediment yield due to changes in LULC in the Yellow Creek Watershed. The results provided important insights for studying water management strategies to make more informed land management decisions and adaptive practices."
Impacts of land use and land cover change in response to different driving forces in Uganda: evidence from a review,"This reviewe of Land Use Land Cover Change (LULCC) studies in Uganda indicate agriculture, forest, grassland, and woodland as the major land use and land cover types. Central Uganda is the most studied region (15%), followed by western ("
"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts","Drought severity and impact assessments are necessary to effectively monitor droughts in semi-arid contexts. However, little is known about the influence land use-land cover (LULC) has-in terms of the differences in annual sizes and configurations-on drought effects. Coupling remote sensing and Geographic Information System techniques, drought evolution was assessed and mapped. During the growing season, drought severity and the effects on LULC were examined and whether these differed between areas of land change and persistence. This study used areas of economic importance to Botswana as case studies. Vegetation Condition Index, derived from Normalised Difference Vegetation Index time series for the growing seasons (2000-2018 in  comparison to 2020-2021), was used to assess droughts for 17 constituencies (Botswana's fourth administrative level) in the Central District of Botswana. Further analyses by LULC types and land change highlighted the vulnerability of both human and natural systems to drought. Identified drought periods in the time series correspond to declared drought years by the Botswana government. Drought severity (extreme, severe, moderate and mild) and the percentage of land areas affected varied in both space and time. The growing seasons of 2002-2003, 2003-2004 and 2015-2016  were the most drought-stricken in the entire time series, coinciding with the El Niño southern oscillation (ENSO). The lower-than-normal vegetation productivity during these growing seasons was evident from the analysis. With the above-normal vegetation productivity in the ongoing season (2020-2021), the results suggest the reversal of the negative vegetation trends observed in the preceding growing seasons. However, the extent of this reversal cannot be confidently ascertained with the season still ongoing. Relating drought severity and intensities to LULC and change in selected drought years revealed that most lands affected by extreme and severe drought (in descending order) were in tree-covered areas (forests and woodlands), grassland/rangelands and croplands. These LULC types were the most affected as extreme drought intersected vegetation productivity decline. The most impacted constituencies according to drought severity and the number of drought events were Mahalapye west (eight), Mahalapye east (seven) and Boteti west (seven). Other constituencies experienced between six and two drought events of varying durations throughout the time series. Since not all constituencies were affected similarly during declared droughts, studies such as this contribute to devising appropriate context-specific responses aimed at minimising drought impacts on social-ecological systems. The methodology utilised can apply to other drylands where climatic and socioeconomic contexts are similar to those of Botswana."
Assessing Land Use-Land Cover Change and Its Impact on Land Surface Temperature Using LANDSAT Data: A Comparison of Two Urban Areas in India,"The purpose of this study is to investigate the spatial and temporal changes in land use and patterns of vegetation and its impacts on land surface temperature (LST) in two Indian cities. Specifically the motivation behind this study is to examine whether a correlation exists between these parameters for the two cities. Indian cities are facing tremendous pressures of rapid urbanization altering the country's land use patterns. This in turn has significantly altered the country's land surface temperature over the years. This study investigates the changes in the land use, land cover and surface temperature in two Indian cities of Surat and Bharuch over a period of 2 decades using Landsat 5 Thematic Mapper and Landsat 8 OLI/TIRS datasets. The study also examines changes in vegetation pattern during this period using a normalized difference vegetation index (NDVI) and investigates the correlation between LST and NDVI. Additionally, the study examines the spatial patterns of LST by mapping the directional profiles of LST. Results of the study reveal that over time both the cities have witnessed a dramatic growth in built-up area, systematic reduction in green space and increase in LST. There is 85% increase in builtup area in Surat in the past 2 decades and 31% increase in built-up area in Bharuch during the same period. At the same time, mean surface temperature in Surat has shown an increase of 2.42 °C per decade while in Bharuch the mean surface temperature has increased by 2.13 °C per decade. Moreover, examination of correlation between LST and NDVI showed a negative relation between the two parameters. Directional profiles showed a continued increase in temperature from 2008 to 2016 from North to South direction Surat indicating an increased urbanization in that direction. Also, new peaks were observed in the profile of Surat for 2008 and 2016 in the north-south direction indicating urban expansion particularly in the southern part of the city. Moreover, substantial growth has taken place in the central part of the city and along the banks of the rivers Tapi and Narmada. This study will be helpful in investigations that address the challenges of urbanization in Surat and Bharuch by assisting local government officials, land management professionals and planners to determine areas where growth must be curbed to avoid further environmental degradation thereby assisting in systematic urban planning practices."
Land Use Policy,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects."
"Integrated modeling of hydrological processes and groundwater recharge based on land use land cover, and climate changes: A systematic review","Groundwater is the main available freshwater resource and therefore its use, management and sustainability are closely related to the Sustainable Development Goals (SDGs). However, Land Use Land Cover (LULC) and climate change are among the factors impacting groundwater recharge. The use of land-use and climate data in conjunction with hydrological models are valuable tools for assessing these impacts on river basins. This systematic review aimed at assessing the integrated modeling approach for evaluating hydrological processes and groundwater recharge based on LULC and climate change. The analysis is based on 200 peer-reviewed articles indexed in Scopus, and the Web of Science. Continuous research and the development of context-specific groundwater recharge models are essential to increase the long-term viability of water resources in any basin. The long-term impacts of natural and anthropogenic drivers on river basin interactions require integrating knowledge and modeling capabilities across biophysical responses, environmental problems, policies, economics, social, and data."
"Monitoring land use and land cover change near a nuclear power plant construction site: Akkuyu case, Turkey",". The agricultural areas in the study area were changed into other LULC classes: 9.1% to artificial surfaces, 27.6% to barren lands, and 21.7% to forest. The rise in the area of artificial surfaces was especially noticeable within the 1 km buffer zone: construction activities converted 36.1% of agricultural fields, 54.1% of forests, and 23.2% of barren lands into artificial surfaces. The filling activities on the seashore resulted in a loss of water bodies of up to 26.5%. The study provides an overview of how the LULC classes have evolved on the construction site and in the region. In the end, the study discusses how the current land use preferences in the region contradict the issues and concerns mentioned in the existing body of literature."
"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, using cellular automata and Markov chain","Rapid urbanization is changing landscapes often resulting in the degradation of ecosystem services and quality of urban life. Remote sensing and GIS tools can provide valuable information to deepen our understanding of the dynamics of these changes to better plan and build sustainable cities for the future. Using remote sensing data, socio-economic data, and field observations, we simulated spatiotemporal dynamics of land use and land cover changes in the city of Thimphu. Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050. The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground. On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%). Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes. These changes have fragmentated forest cover, increased soil/gully erosion, surface runoff, and storm induced floods of storm and sanitation drains, thereby impinging on the overall quality of life in the city. Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city. These findings beg for an urgent need to implement effective planning specially to protect the existing forest and water resources from further degradation."
