Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Assessment of land use land cover change and its effects using artificial neural network-based cellular automation,https://link.springer.com/article/10.1186/s44147-024-00402-0,10.1186/s44147-024-00402-0,True,Assessment of land use land cover change and its effects using artificial neural network-based cellular automation.pdf,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Engineering and Applied Science,True,Scholar,"Mehra, Nishant and Swain, Janaki Ballav"
Multi-scenario simulation of land use/land cover change and water yield evaluation coupled with the GMOP-PLUS-InVEST model: A case study of the Nansi …,https://www.sciencedirect.com/science/article/pii/S1470160X23010683,10.3390/land13091518,True,,2024,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,False,,"Wang, Qi and Zhang, Wenying and Xia, Jianguo and Ou, Dinghua and Tian, Zhaonan and Gao, Xuesong"
Mapping and monitoring of spatio-temporal land use and land cover changes and relationship with normalized satellite indices and driving factors,https://www.tandfonline.com/doi/abs/10.1080/24749508.2023.2187567,10.1080/24749508.2023.2187567,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020","Geology, Ecology, and Landscapes",False,,"Wahla, Saadia Sultan and Kazmi, Jamil Hassan and Tariq, Aqil"
"Detection of land use/land cover changes in a watershed: A case study of the Murredu watershed in Telangana state, India",https://www.sciencedirect.com/science/article/pii/S2589471422000298,10.1016/j.wsee.2022.12.003,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Watershed Ecology and the Environment,False,,"Raja Shekar, Padala and Mathew, Aneesh"
"Land use and land cover change detection using geospatial techniques in the Sikkim Himalaya, India",https://www.sciencedirect.com/science/article/pii/S1110982318302035,10.26480/ees.01.2023.21.29,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environment &amp; Ecosystem Science,False,,"Girma Abebe, Birhanu and Gebeyehu Amare, Agemasie and Shata Gemeda, Bedane"
"Analysis of land use/land cover change trends over Birr River Watershed, Abbay Basin, Ethiopia",https://www.sciencedirect.com/science/article/pii/S266597272200054X,10.1016/j.indic.2022.100222,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental and Sustainability Indicators,False,,"Malede, Demelash Ademe and Alamirew, Tena and Kosgie, Job Rotich and Andualem, Tesfa Gebrie"
Coastal ecosystem service in response to past and future land use and land cover change dynamics in the Yangtze river estuary,https://www.sciencedirect.com/science/article/pii/S0959652622051757,10.1016/j.jclepro.2022.135601,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Cleaner Production,False,,"Li, Chengwei and Fang, Shubo and Geng, Xiaolei and Yuan, Yuan and Zheng, Xiaowei and Zhang, Dou and Li, Rongxi and Sun, Wei and Wang, Xiangrong"
Effect of land use land cover change on runoff characteristics using curve number: A GIS and remote sensing approach,https://www.inderscienceonline.com/doi/abs/10.1504/IJHST.2023.131824,10.1504/ijhst.2023.131824,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Hydrology Science and Technology,False,,"Mehta, Darshan and Hadvani, Janvi and Kanthariya, Devanshi and Sonawala, Prachi"
"Investigating land use land cover changes and their effects on land surface temperature and urban heat islands in Sharqiyah Governorate, Egypt",https://www.sciencedirect.com/science/article/pii/S1110982323000200,10.1016/j.ejrs.2023.04.001,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",The Egyptian Journal of Remote Sensing and Space Science,False,,"Hamed Fahmy, Asmaa and Amin Abdelfatah, Mohamed and El-Fiky, Gamal"
"Hydrological responses to human-induced land use/land cover changes in the Gidabo River basin, Ethiopia",https://www.tandfonline.com/doi/abs/10.1080/02626667.2021.1890328,10.3390/geographies3010004,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Geographies,False,,"Ayele, Habitamu Alesew and Aga, Alemu O. and Belayneh, Liuelsegad and Wanjala, Tilahun Wankie"
Development of a map for land use and land cover classification of the Northern Border Region using remote sensing and GIS,https://www.sciencedirect.com/science/article/pii/S1110982323000248,10.1016/j.ejrs.2023.04.005,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",The Egyptian Journal of Remote Sensing and Space Science,False,,"Darem, Abdulbasit A. and Alhashmi, Asma A. and Almadani, Aloyoun M. and Alanazi, Ali K. and Sutantra, Geraldine A."
Dynamics of ecosystem services (ESs) in response to land use land cover (LU/LC) changes in the lower Gangetic plain of India,https://www.sciencedirect.com/science/article/pii/S1470160X20300583,10.31031/eaes.2023.11.000766,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Analysis &amp; Ecology Studies,False,,"Yirsaw, Eshetu"
Mapping the spatial heterogeneity of global land use and land cover from 2020 to 2100 at a 1 km resolution,https://www.nature.com/articles/s41597-023-02637-7,10.1038/s41597-023-02637-7,True,Mapping the spatial heterogeneity of global land use and land cover from 2020 to 2100 at a 1 km resolution.pdf,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Scientific Data,True,Scholar,"Zhang, Tianyuan and Cheng, Changxiu and Wu, Xudong"
Future scenarios of land use/land cover (LULC) based on a CA-markov simulation model: case of a mediterranean watershed in Morocco,https://www.mdpi.com/2072-4292/15/4/1162,10.3390/rs15041162,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Beroho, Mohamed and Briak, Hamza and Cherif, El Khalil and Boulahfa, Imane and Ouallali, Abdessalam and Mrabet, Rachid and Kebede, Fassil and Bernardino, Alexandre and Aboumaria, Khadija"
Impacts of land use/land cover and climate change on hydrological cycle in the Xiaoxingkai Lake Basin,https://www.sciencedirect.com/science/article/pii/S221458182300109X,10.1016/j.ejrh.2023.101422,True,,2023,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Hydrology: Regional Studies,False,,"Xiao, Feiyan and Wang, Xunming and Fu, Congsheng"
"Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects",https://www.sciencedirect.com/science/article/pii/S0048969722006519,10.1016/j.scitotenv.2022.153559,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Science of The Total Environment,False,,"Wang, Junye and Bretz, Michael and Dewan, M. Ali Akber and Delavar, Mojtaba Aghajani"
"Land use/land cover change and its driving forces in Shenkolla watershed, south Central Ethiopia",https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/9470918,10.1016/j.heliyon.2022.e09267,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Heliyon,False,,"Mariye, Mehari and Jianhua, Li and Maryo, Melesse"
Land use land cover changes in the major cities of Nepal from 1990 to 2020,https://www.sciencedirect.com/science/article/pii/S2665972723000041,10.3390/ijerph192316079,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Environmental Research and Public Health,False,,"Ding, Qian and Pan, Tao and Lin, Tao and Zhang, Chi"
Impacts of land use/land cover changes on ecosystem services in ecologically fragile regions,https://www.sciencedirect.com/science/article/pii/S0048969722020605,10.1016/j.scitotenv.2022.154967,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Science of The Total Environment,False,,"Fang, Zhou and Ding, Tonghui and Chen, Junyu and Xue, Shi and Zhou, Qin and Wang, Yingdi and Wang, Yixin and Huang, Zhongde and Yang, Shiliang"
Urban land use and land cover change analysis using random forest classification of landsat time series,https://www.mdpi.com/2072-4292/14/11/2654,10.3390/rs14112654,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Amini, Saeid and Saber, Mohsen and Rabiei-Dastjerdi, Hamidreza and Homayouni, Saeid"
"Analysis of land use/land cover change and its implication on natural resources of the dedo watershed, southwest Ethiopia",https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/6471291,10.1155/2022/6471291,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",The Scientific World Journal,False,,"Anteneh, Mesfin"
Past and future land use/land cover changes in the Ethiopian Fincha Sub-Basin,https://www.mdpi.com/2073-445X/11/8/1239,10.3390/land11081239,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,False,,"Regasa, Motuma Shiferaw and Nones, Michael"
"Land use and land cover change and its impact on river morphology in Johor River Basin, Malaysia",https://www.sciencedirect.com/science/article/pii/S2214581822000854,10.1016/j.ejrh.2022.101072,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Hydrology: Regional Studies,False,,"Kang, Chuen Siang and Kanniah, Kasturi Devi"
Land-use/land-cover change detection based on a Siamese global learning framework for high spatial resolution remote sensing imagery,https://www.sciencedirect.com/science/article/pii/S0924271621003270,10.1109/tgrs.2020.3034373,True,Land-use_land-cover change detection based on a Siamese global learning framework for high spatial resolution remote sensing imagery.pdf,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",IEEE Transactions on Geoscience and Remote Sensing,True,SciDB,"Shi, Sunan and Zhong, Yanfei and Zhao, Ji and Lv, Pengyuan and Liu, Yinhe and Zhang, Liangpei"
Assessing the trends and drivers of land use land cover change in district Abbottabad lower Himalayan Region Pakistan,https://www.tandfonline.com/doi/abs/10.1080/10106049.2022.2040604,10.1080/10106049.2022.2040604,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Geocarto International,False,,"Anwar, Zartashia and Alam, Arif and Elahi, Noor and Shah, Ikram"
Analysis of peri-urban land use/land cover change and its drivers using geospatial techniques and geographically weighted regression,https://link.springer.com/article/10.1007/s11356-022-18853-4,10.1007/s11356-022-18853-4,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Science and Pollution Research,False,,"Naikoo, Mohd Waseem and Rihan, Mohd and Shahfahad and Peer, Arshid Hussain and Talukdar, Swapan and Mallick, Javed and Ishtiaq, Mohammad and Rahman, Atiqur"
"Modeling the impacts of land use/land cover change on meteorology and air quality during 2000–2018 in the Yangtze River Delta region, China",https://www.sciencedirect.com/science/article/pii/S0048969722017624,10.1016/j.scitotenv.2022.154669,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Science of The Total Environment,False,,"Li, Li and Zhu, Ansheng and Huang, Ling and Wang, Qing and Chen, Yixiao and Ooi, Maggie Chel Gee and Wang, Min and Wang, Yangjun and Chan, Andy"
The global 2000-2020 land cover and land use change dataset derived from the Landsat archive: first results,https://www.frontiersin.org/articles/10.3389/frsen.2022.856903/full,10.3389/frsen.2022.856903,True,The global 2000-2020 land cover and land use change dataset derived from the Landsat archive_ first results.pdf,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Frontiers in Remote Sensing,True,Scholar,"Potapov, Peter and Hansen, Matthew C. and Pickens, Amy and Hernandez-Serna, Andres and Tyukavina, Alexandra and Turubanova, Svetlana and Zalles, Viviana and Li, Xinyuan and Khan, Ahmad and Stolle, Fred and Harris, Nancy and Song, Xiao-Peng and Baggett, Antoine and Kommareddy, Indrani and Kommareddy, Anil"
Using remote sensing to quantify the joint effects of climate and land use/land cover changes on the caatinga biome of northeast Brazilian,https://www.mdpi.com/2072-4292/14/8/1911,10.3390/rs14081911,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Jardim, Alexandre Maniçoba da Rosa Ferraz and Araújo Júnior, George do Nascimento and Silva, Marcos Vinícius da and Santos, Anderson dos and Silva, Jhon Lennon Bezerra da and Pandorfi, Héliton and Oliveira-Júnior, José Francisco de and Teixeira, Antônio Heriberto de Castro and Teodoro, Paulo Eduardo and de Lima, João L. M. P. and Silva Junior, Carlos Antonio da and Souza, Luciana Sandra Bastos de and Silva, Emanuel Araújo and Silva, Thieres George Freire da"
"Application of remote sensing tools to assess the land use and land cover change in Coatzacoalcos, Veracruz, Mexico",https://www.mdpi.com/2076-3417/12/4/1882,10.3390/app12041882,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Applied Sciences,False,,"Revuelta-Acosta, Josept David and Guerrero-Luis, Edna Suhail and Terrazas-Rodriguez, Jose Eduardo and Gomez-Rodriguez, Cristian and Alcal√° Perea, Gerardo"
Predicting microscale land use/land cover changes using cellular automata algorithm on the northwest coast of peninsular Malaysia,https://link.springer.com/article/10.1007/s41748-022-00318-w,10.1007/s41748-022-00318-w,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Earth Systems and Environment,False,,"Rahaman, Zullyadini A. and Kafy, Abdulla - Al and Faisal, Abdullah-Al- and Al Rakib, Abdullah and Jahir, Dewan Md. Amir and Fattah, Md. Abdul and Kalaivani, S. and Rathi, R. and Mallik, Saumik and Rahman, Muhammad Tauhidur"
Comparison of land use land cover classifiers using different satellite imagery and machine learning techniques,https://www.mdpi.com/2072-4292/14/19/4978,10.3390/rs14194978,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Basheer, Sana and Wang, Xiuquan and Farooque, Aitazaz A. and Nawaz, Rana Ali and Liu, Kai and Adekanmbi, Toyin and Liu, Suqi"
"Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province, China",https://www.nature.com/articles/s41598-022-12080-0,10.1038/s41598-022-12080-0,True,Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province_ China.pdf,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Scientific Reports,True,Scholar,"Zhu, Linye and Xing, Huaqiao and Hou, Dongyang"
"Global 10 m land use land cover datasets: A comparison of dynamic world, world cover and esri land cover",https://www.mdpi.com/2072-4292/14/16/4101,10.3390/rs14164101,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Venter, Zander S. and Barton, David N. and Chakraborty, Tirthankar and Simensen, Trond and Singh, Geethen"
… cloud-based computing and spatial modeling approaches for land surface temperature disparities in response to land cover change: evidence from Pakistan,https://www.sciencedirect.com/science/article/pii/S2352938521002019,10.1016/j.rsase.2021.100665,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing Applications: Society and Environment,False,,"Waleed, Mirza and Sajjad, Muhammad"
"Integrated modeling of hydrological processes and groundwater recharge based on land use land cover, and climate changes: A systematic review",https://www.sciencedirect.com/science/article/pii/S266676572200059X,10.1016/j.envadv.2022.100224,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Advances,False,,"Mensah, Jacob Kofi and Ofosu, Eric A. and Yidana, Sandow Mark and Akpoti, Komlavi and Kabo-bah, Amos T."
Land use land cover change analysis for urban growth prediction using landsat satellite data and Markov Chain Model for Al Baha region Saudi Arabia,https://www.mdpi.com/1999-4907/13/10/1530,10.3390/f13101530,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Forests,False,,"Alsharif, Mohammad and Alzandi, Abdulrhman Ali and Shrahily, Raid and Mobarak, Babikir"
"Assessing the effect of land-use and land-cover changes on discharge and sediment yield in a rural coal-mine dominated watershed in Kentucky, USA",https://www.mdpi.com/2073-4441/14/4/516,10.3390/w14040516,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Water,False,,"Gyawali, Buddhi and Shrestha, Sandesh and Bhatta, Aman and Pokhrel, Bijay and Cristan, Richard and Antonious, George and Banerjee, Swagata and Paudel, Krishna P."
Detecting land use and land cover change on Barbuda before and after the Hurricane Irma with respect to potential land grabbing: A combined volunteered …,https://www.sciencedirect.com/science/article/pii/S0303243422000587,10.1016/j.jag.2022.102732,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Applied Earth Observation and Geoinformation,False,,"Rienow, Andreas and Schweigh√∂fer, Jan and Dedring, Torben and Goebel, Marcus and Graw, Valerie"
Land use and land cover in tropical forest: global research,https://www.mdpi.com/1999-4907/13/10/1709,10.3390/f13101709,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Forests,False,,"Velastegui-Montoya, Andrés and Montalván-Burbano, Néstor and Peña-Villacreses, Gina and de Lima, Aline and Herrera-Franco, Gricelda"
Change of land use/land cover in kurdistan region of Iraq: A semi-automated object-based approach,https://www.sciencedirect.com/science/article/pii/S2352938522000210,10.1016/j.rsase.2022.100713,True,,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing Applications: Society and Environment,False,,"Nasir, Salam Mahmood and Kamran, Khalil Valizadeh and Blaschke, Thomas and Karimzadeh, Sadra"
"Dynamic World, Near real-time global 10 m land use land cover mapping",https://www.nature.com/articles/s41597-022-01307-4,10.1038/s41597-022-01307-4,True,Dynamic World_ Near real-time global 10 m land use land cover mapping.pdf,2022,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Scientific Data,True,Scholar,"Brown, Christopher F. and Brumby, Steven P. and Guzder-Williams, Brookie and Birch, Tanya and Hyde, Samantha Brooks and Mazzariello, Joseph and Czerwinski, Wanda and Pasquarella, Valerie J. and Haertel, Robert and Ilyushchenko, Simon and Schwehr, Kurt and Weisse, Mikaela and Stolle, Fred and Hanson, Craig and Guinan, Oliver and Moore, Rebecca and Tait, Alexander M."
A review on change detection method and accuracy assessment for land use land cover,https://www.sciencedirect.com/science/article/pii/S2352938521000185,10.1016/j.rsase.2021.100482,True,A review on change detection method and accuracy assessment for land use land cover.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing Applications: Society and Environment,True,SciDB,"Chughtai, Ali Hassan and Abbasi, Habibullah and Karas, Ismail Rakip"
"Modeling and prediction of land use land cover change dynamics based on land change modeler (Lcm) in nashe watershed, upper blue nile basin, Ethiopia",https://www.mdpi.com/2071-1050/13/7/3740,10.3390/su13073740,True,Modeling and prediction of land use land cover change dynamics based on land change modeler _Lcm_ in nashe watershed_ upper blue nile basin_ Ethiopia.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Sustainability,True,SciDB,"Leta, Megersa Kebede and Demissie, Tamene Adugna and Tr√§nckner, Jens"
Land use/land cover change assessment of Halda watershed using remote sensing and GIS,https://www.sciencedirect.com/science/article/pii/S1110982318300140,10.26832/24566632.2021.060309,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Archives of Agriculture and Environmental Science,False,,"Bist, Suraj Prasad and Adhikari, Rabindra and Regmi, Raju Raj and Subedi, Rajan"
"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, using cellular automata and Markov chain",https://www.sciencedirect.com/science/article/pii/S2667010020300172,10.1016/j.envc.2020.100017,True,Land use and land cover change detection and prediction in Bhutan_s high altitude city of Thimphu_ using cellular automata and Markov chain.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Challenges,True,SciDB,"Wang, Sonam Wangyel and Munkhnasan, Lamchin and Lee, Woo-Kyun"
Spatial-temporal pattern analysis of landscape ecological risk assessment based on land use/land cover change in Baishuijiang National nature reserve in …,https://www.sciencedirect.com/science/article/pii/S1470160X21001199,10.1016/j.ecolind.2021.107454,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Ecological Indicators,False,,"Wang, Hong and Liu, Xingming and Zhao, Chuanyan and Chang, Yapeng and Liu, Youyan and Zang, Fei"
"The impact of land use and land cover changes on socioeconomic factors and livelihood in the Atwima Nwabiagya district of the Ashanti region, Ghana",https://www.sciencedirect.com/science/article/pii/S2667010021002055,10.1016/j.envc.2021.100226,True,The impact of land use and land cover changes on socioeconomic factors and livelihood in the Atwima Nwabiagya district of the Ashanti region_ Ghana.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Challenges,True,SciDB,"kullo, Emmanuel Daata and Forkuo, Eric Kwabena and Biney, Ernest and Harris, Emmanuel and Quaye-Ballard, Jonathan Arthur"
Assessment of land use and land cover changes in Kenya's Mt. Elgon forest ecosystem,https://onlinelibrary.wiley.com/doi/abs/10.1111/aje.12886,10.1111/aje.12886,True,Assessment of land use and land cover changes in Kenya_s Mt. Elgon forest ecosystem.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",African Journal of Ecology,True,SciDB,"Masayi, Nelly Nambande and Omondi, Paul and Tsingalia, Mugatsia"
