Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Effects of long-term land use and land cover changes on ecosystem service values: An example from the central rift valley, Ethiopia",https://www.mdpi.com/2073-445X/10/12/1373,10.3390/land10121373,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,False,,"Mekuria, Wolde and Diyasa, Merga and Tengberg, Anna and Haileslassie, Amare"
"Land-use and land-cover changes in dong trieu district, vietnam, during past two decades and their driving forces",https://www.mdpi.com/2073-445X/10/8/798,10.3390/land10080798,True,Land-use and land-cover changes in dong trieu district_ vietnam_ during past two decades and their driving forces.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,True,SciDB,"Vu, Thi-Thu and Shen, Yuan"
"Vegetation trends, drought severity and land use-land cover change during the growing season in semi-arid contexts",https://www.mdpi.com/2072-4292/13/5/836,10.3390/rs13050836,True,Vegetation trends_ drought severity and land use-land cover change during the growing season in semi-arid contexts.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,True,SciDB,"Akinyemi, Felicia O."
Analyzing and predicting land use and land cover changes in New Jersey using multi-layer perceptron–Markov chain model,https://www.mdpi.com/2673-4834/2/4/50,10.3390/earth2040050,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Earth,False,,"Ngoy, Kikombo Ilunga and Qi, Feng and Shebitz, Daniela J."
"Investigating impact of land-use and land cover changes on hydro-ecological balance using GIS: insights from IIT Bombay, India",https://link.springer.com/article/10.1007/s42452-021-04328-7,10.1007/s42452-021-04328-7,True,Investigating impact of land-use and land cover changes on hydro-ecological balance using GIS_ insights from IIT Bombay_ India.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",SN Applied Sciences,True,SciDB,"Srivastava, Aman and Chinnasamy, Pennan"
"Analysis of urban expansion and land use/land cover changes using geospatial techniques: a case of Addis Ababa City, Ethiopia",https://link.springer.com/article/10.1007/s12518-021-00397-w,10.1007/s12518-021-00397-w,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Applied Geomatics,False,,"Moisa, Mitiku Badasa and Gemeda, Dessalegn Obsi"
"Past and future prediction of land cover land use change based on earth observation data by the CA–Markov model: a case study from Duhok governorate, Iraq",https://link.springer.com/article/10.1007/s12517-021-07984-6?wt_mc=Internal.Event.1.SEM.ArticleAuthorIncrementalIssue&utm_source=ArticleAuthorIncrementalIssue&utm_medium=email&utm_content=AA_en_06082018&ArticleAuthorIncrementalIssue_20210731,10.1007/s12517-021-07984-6,True,Past and future prediction of land cover land use change based on earth observation data by the CA_Markov model_ a case study from Duhok governorate_ Iraq.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Arabian Journal of Geosciences,True,SciDB,"Khwarahm, Nabaz R. and Najmaddin, Peshawa M. and Ararat, Korsh and Qader, Sarchil"
"Tropical coastal land-use and land cover changes impact on ecosystem service value during rapid urbanization of Benin, West Africa",https://www.mdpi.com/1660-4601/18/14/7416,10.3390/ijerph18147416,True,Tropical coastal land-use and land cover changes impact on ecosystem service value during rapid urbanization of Benin_ West Africa.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Environmental Research and Public Health,True,SciDB,"Tiando, Damien Sinonmatohou and Hu, Shougeng and Fan, Xin and Ali, Muhammad Rashid"
Identifying core driving factors of urban land use change from global land cover products and POI data using the random forest method,https://www.sciencedirect.com/science/article/pii/S0303243421001823,10.1016/j.jag.2021.102475,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",International Journal of Applied Earth Observation and Geoinformation,False,,"Wu, Hao and Lin, Anqi and Xing, Xudong and Song, Danxia and Li, Yan"
Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,https://link.springer.com/article/10.1007/s10661-021-09077-z,10.1007/s10661-021-09077-z,True,Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Monitoring and Assessment,True,SciDB,"Ewane, Ewane Basil"
Mapping land use land cover changes and their determinants in the context of a massive free labour mobilisation campaign: Evidence from south wollo …,https://www.mdpi.com/2072-4292/13/24/5078,10.3390/rs13245078,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,False,,"Tesfaye, Bichaye and Lengoiboni, Monica and Zevenbergen, Jaap and Simane, Belay"
"Urban growth and land use/land cover changes in the post-genocide period, Kigali, Rwanda",https://journals.sagepub.com/doi/abs/10.1177/0975425321997971,10.1177/0975425321997971,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environment and Urbanization ASIA,False,,"Nduwayezu, Gilbert and Manirakiza, Vincent and Mugabe, Leon and Malonza, Josephine Mwongeli"
Predicting changes in land use/land cover and seasonal land surface temperature using multi-temporal landsat images in the northwest region of Bangladesh,https://www.cell.com/heliyon/fulltext/S2405-8440(21)01726-6,10.1016/j.heliyon.2021.e07623,True,Predicting changes in land use_land cover and seasonal land surface temperature using multi-temporal landsat images in the northwest region of Bangladesh.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Heliyon,True,SciDB,"Kafy, Abdulla - Al and Faisal, Abdullah-Al- and Al Rakib, Abdullah and Roy, Sumita and Ferdousi, Jannatul and Raikwar, Vinay and Kona, Marium Akter and Fatin, S.M. Abdullah Al"
"Flooding and its relationship with land cover change, population growth, and road density",https://www.sciencedirect.com/science/article/pii/S1674987121000888,10.1016/j.gsf.2021.101224,True,Flooding and its relationship with land cover change_ population growth_ and road density.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Geoscience Frontiers,True,SciDB,"Rahman, Mahfuzur and Ningsheng, Chen and Mahmud, Golam Iftekhar and Islam, Md Monirul and Pourghasemi, Hamid Reza and Ahmad, Hilal and Habumugisha, Jules Maurice and Washakh, Rana Muhammad Ali and Alam, Mehtab and Liu, Enlong and Han, Zheng and Ni, Huayong and Shufeng, Tian and Dewan, Ashraf"
Impact of land cover changes on land surface temperature and human thermal comfort in Dhaka city of Bangladesh,https://link.springer.com/article/10.1007/s41748-021-00243-4,10.1007/s41748-021-00243-4,True,Impact of land cover changes on land surface temperature and human thermal comfort in Dhaka city of Bangladesh.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Earth Systems and Environment,True,Scholar,"Imran, H. M. and Hossain, Anwar and Islam, A. K. M. Saiful and Rahman, Ataur and Bhuiyan, Md Abul Ehsan and Paul, Supria and Alam, Akramul"
Global land use/land cover with Sentinel 2 and deep learning,https://ieeexplore.ieee.org/abstract/document/9553499/,10.1109/igarss47720.2021.9553499,True,,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",IEEE,False,,"Karra, Krishna and Kontgis, Caitlin and Statman-Weil, Zoe and Mazzariello, Joseph C. and Mathis, Mark and Brumby, Steven P."
"Impact of land use and land cover change on the environmental quality of a region: A case of Ernakulam district in Kerala, India",https://www.ceeol.com/search/article-detail?id=939282,10.15196/rs110205,True,Impact of land use and land cover change on the environmental quality of a region_ A case of Ernakulam district in Kerala_ India.pdf,2021,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Regional Statistics,True,Scholar,"Krishnan V., Sruthi and Firoz C., Mohammed"
Monitoring land use and land cover changes in the mountainous cities of Oman using GIS and CA-Markov modelling techniques,https://www.sciencedirect.com/science/article/pii/S0264837719310919,10.1016/j.landusepol.2019.104414,True,Monitoring land use and land cover changes in the mountainous cities of Oman using GIS and CA-Markov modelling techniques.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land Use Policy,True,SciDB,"Mansour, Shawky and Al-Belushi, Mohammed and Al-Awadhi, Talal"
"Dynamics of land use, land cover change trend and its drivers in Jimma Geneti District, Western Ethiopia",https://www.sciencedirect.com/science/article/pii/S0264837719317971,10.1016/j.landusepol.2020.105011,True,Dynamics of land use_ land cover change trend and its drivers in Jimma Geneti District_ Western Ethiopia.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land Use Policy,True,SciDB,"Hailu, Alemenesh and Mammo, Siraj and Kidane, Moges"
Reconstructing three decades of land use and land cover changes in brazilian biomes with landsat archive and earth engine,https://www.mdpi.com/2072-4292/12/17/2735,10.3390/rs12172735,True,Reconstructing three decades of land use and land cover changes in brazilian biomes with landsat archive and earth engine.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,True,SciDB,"Souza, Carlos M. and Z. Shimbo, Julia and Rosa, Marcos R. and Parente, Leandro L. and A. Alencar, Ane and Rudorff, Bernardo F. T. and Hasenack, Heinrich and Matsumoto, Marcelo and G. Ferreira, Laerte and Souza-Filho, Pedro W. M. and de Oliveira, Sergio W. and Rocha, Washington F. and Fonseca, Antônio V. and Marques, Camila B. and Diniz, Cesar G. and Costa, Diego and Monteiro, Dyeden and Rosa, Eduardo R. and Vélez-Martin, Eduardo and Weber, Eliseu J. and Lenti, Felipe E. B. and Paternost, Fernando F. and Pareyn, Frans G. C. and Siqueira, João V. and Viera, José L. and Neto, Luiz C. Ferreira and Saraiva, Marciano M. and Sales, Marcio H. and Salgado, Moises P. G. and Vasconcelos, Rodrigo and Galano, Soltan and Mesquita, Vinicius V. and Azevedo, Tasso"
Survey on Land Use/Land Cover (LU/LC) change analysis in remote sensing and GIS environment: Techniques and Challenges,https://link.springer.com/article/10.1007/s11356-020-09091-7,10.1007/s11356-020-09091-7,True,Survey on Land Use_Land Cover _LU_LC_ change analysis in remote sensing and GIS environment_ Techniques and Challenges.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Environmental Science and Pollution Research,True,SciDB,"MohanRajan, Sam Navin and Loganathan, Agilandeeswari and Manoharan, Prabukumar"
Historical  emissions from land use and land cover change and their uncertainty,https://bg.copernicus.org/articles/17/4075/2020/bg-17-4075-2020.html,10.5194/bg-17-4075-2020,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Biogeosciences,False,,"Gasser, Thomas and Crepin, Léa and Quilcaille, Yann and Houghton, Richard A. and Ciais, Philippe and Obersteiner, Michael"
"Assessing land use and land cover change detection using remote sensing in the Lake Tana Basin, Northwest Ethiopia",https://www.tandfonline.com/doi/abs/10.1080/23311843.2020.1778998,10.1080/23311843.2020.1778998,True,Assessing land use and land cover change detection using remote sensing in the Lake Tana Basin_ Northwest Ethiopia.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Cogent Environmental Science,True,SciDB,"Tewabe, Dires and Fentahun, Temesgen"
Land use and land cover change detection and prediction in the Kathmandu district of Nepal using remote sensing and GIS,https://www.mdpi.com/2071-1050/12/9/3925,10.3390/su12093925,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Sustainability,False,,"Wang, Sonam Wangyel and Gebru, Belay Manjur and Lamchin, Munkhnasan and Kayastha, Rijan Bhakta and Lee, Woo-Kyun"
"The impact of land-use/land cover changes on water balance of the heterogeneous Buzi sub-catchment, Zimbabwe",https://www.sciencedirect.com/science/article/pii/S2352938519303635,10.1016/j.rsase.2020.100292,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing Applications: Society and Environment,False,,"Chemura, Abel and Rwasoka, Donald and Mutanga, Onisimo and Dube, Timothy and Mushore, Terence"
"Detecting and analyzing land use and land cover changes in the region of Al-Jabal Al-Akhdar, Libya using time-series landsat data from 1985 to 2017",https://www.mdpi.com/2071-1050/12/11/4490,10.3390/su12114490,True,Detecting and analyzing land use and land cover changes in the region of Al-Jabal Al-Akhdar_ Libya using time-series landsat data from 1985 to 2017.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Sustainability,True,SciDB,"Alawamy, Jamal Suliman and Balasundram, Siva K. and Mohd. Hanif, Ahmad Husni and Boon Sung, Christopher Teh"
"Effects of dynamic land use/land cover change on water resources and sediment yield in the Anzali wetland catchment, Gilan, Iran",https://www.sciencedirect.com/science/article/pii/S0048969719364459,10.1016/j.scitotenv.2019.136449,True,Effects of dynamic land use_land cover change on water resources and sediment yield in the Anzali wetland catchment_ Gilan_ Iran.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Science of The Total Environment,True,SciDB,"Aghsaei, Helen and Mobarghaee Dinan, Naghmeh and Moridi, Ali and Asadolahi, Zahra and Delavar, Majid and Fohrer, Nicola and Wagner, Paul Daniel"
Land use/land cover changes and their driving factors in the Northeastern Tibetan Plateau based on Geographical Detectors and Google Earth Engine: A …,https://www.mdpi.com/2072-4292/12/19/3139,10.3390/rs12193139,True,Land use_land cover changes and their driving factors in the Northeastern Tibetan Plateau based on Geographical Detectors and Google Earth Engine_ A__.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,True,SciDB,"Liu, Chenli and Li, Wenlong and Zhu, Gaofeng and Zhou, Huakun and Yan, Hepiao and Xue, Pengfei"
Land use land cover change detection through geospatial analysis in an Indian Biosphere Reserve,https://www.sciencedirect.com/science/article/pii/S2666719320300182,10.1016/j.tfp.2020.100018,True,Land use land cover change detection through geospatial analysis in an Indian Biosphere Reserve.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020","Trees, Forests and People",True,SciDB,"Thakur, Tarun Kumar and Patel, Digvesh Kumar and Bijalwan, Arvind and Dobriyal, Mammohan J. and Kumar, Anirudh and Thakur, Anita and Bohra, Abhishek and Bhat, Jahangeer A."
Impacts of land use and land cover change in response to different driving forces in Uganda: evidence from a review,https://www.tandfonline.com/doi/abs/10.1080/19376812.2020.1832547,10.1080/19376812.2020.1832547,True,Impacts of land use and land cover change in response to different driving forces in Uganda_ evidence from a review.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",African Geographical Review,True,SciDB,"Kilama Luwa, Justine and Bamutaze, Yazidhi and Majaliwa Mwanjalolo, Jackson-Gilbert and Waiswa, Daniel and Pilesjö, Petter and Mukengere, Espoir Bagula"
"Assessment and simulation of land use and land cover change impacts on the land surface temperature of Chaoyang District in Beijing, China",https://peerj.com/articles/9115/,10.7717/peerj.9115,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",PeerJ,False,,"Amir Siddique, Muhammad and Dongyun, Liu and Li, Pengli and Rasool, Umair and Ullah Khan, Tauheed and Javaid Aini Farooqi, Tanzeel and Wang, Liwen and Fan, Boqing and Rasool, Muhammad Awais"
Detection of land use/cover change in Egyptian Nile Delta using remote sensing,https://www.sciencedirect.com/science/article/pii/S1110982317304301,10.1016/j.ejrs.2018.10.004,True,Detection of land use_cover change in Egyptian Nile Delta using remote sensing.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",The Egyptian Journal of Remote Sensing and Space Science,True,SciDB,"Elagouz, M.H. and Abou-Shleel, S.M. and Belal, A.A. and El-Mohandes, M.A.O."
LAND-USE and land-cover change processes in Pampa biome and relation with environmental and socioeconomic data,https://www.sciencedirect.com/science/article/pii/S0143622818311603,10.1016/j.apgeog.2020.102342,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Applied Geography,False,,"Mengue, Vagner Paz and Dias de Freitas, Marcos Wellausen and Silva da Silva, Tatiana and Fontana, Denise Cybis and Scott√°, Fernando Comerlato"
"An analysis of urban land use/land cover changes in Blantyre City, Southern Malawi (1994–2018)",https://www.mdpi.com/2071-1050/12/6/2377,10.3390/su12062377,True,,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Sustainability,False,,"Mawenda, John and Watanabe, Teiji and Avtar, Ram"
Landsat analysis ready data for global land cover and land cover change mapping,https://www.mdpi.com/2072-4292/12/3/426,10.3390/rs12030426,True,Landsat analysis ready data for global land cover and land cover change mapping.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,True,SciDB,"Potapov, Peter and Hansen, Matthew C. and Kommareddy, Indrani and Kommareddy, Anil and Turubanova, Svetlana and Pickens, Amy and Adusei, Bernard and Tyukavina, Alexandra and Ying, Qing"
"Drivers and implications of land use/land cover dynamics in Finchaa catchment, northwestern Ethiopia",https://www.mdpi.com/2073-445X/9/4/113,10.3390/land9040113,True,Drivers and implications of land use_land cover dynamics in Finchaa catchment_ northwestern Ethiopia.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Land,True,SciDB,"Dibaba, Wakjira Takala and Demissie, Tamene Adugna and Miegel, Konrad"
Conterminous United States land cover change patterns 2001–2016 from the 2016 national land cover database,https://www.sciencedirect.com/science/article/pii/S0924271620300587,10.1016/j.isprsjprs.2020.02.019,True,Conterminous United States land cover change patterns 2001_2016 from the 2016 national land cover database.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",ISPRS Journal of Photogrammetry and Remote Sensing,True,SciDB,"Homer, Collin and Dewitz, Jon and Jin, Suming and Xian, George and Costello, Catherine and Danielson, Patrick and Gass, Leila and Funk, Michelle and Wickham, James and Stehman, Stephen and Auch, Roger and Riitters, Kurt"
Impact of land use/land cover change on the topsoil selenium concentration and its potential bioavailability in a karst area of southwest China,https://www.sciencedirect.com/science/article/pii/S0048969719351939,10.1016/j.scitotenv.2019.135201,True,Impact of land use_land cover change on the topsoil selenium concentration and its potential bioavailability in a karst area of southwest China.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Science of The Total Environment,True,SciDB,"Xiao, Kongcao and Tang, Junjie and Chen, Hao and Li, Dejun and Liu, Yongxian"
Land use and land cover changes along the China-Myanmar Oil and Gas pipelines–Monitoring infrastructure development in remote conflict-prone regions,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237806,10.1371/journal.pone.0237806,True,Land use and land cover changes along the China-Myanmar Oil and Gas pipelines_Monitoring infrastructure development in remote conflict-prone regions.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",PLOS ONE,True,SciDB,"Aung, Thiri Shwesin and Fischer, Thomas B. and Buchanan, John"
Watershed hydrological response to combined land use/land cover and climate change in highland Ethiopia: Finchaa catchment,https://www.mdpi.com/2073-4441/12/6/1801,10.3390/w12061801,True,Watershed hydrological response to combined land use_land cover and climate change in highland Ethiopia_ Finchaa catchment.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Water,True,SciDB,"Dibaba, Wakjira Takala and Demissie, Tamene Adugna and Miegel, Konrad"
Land-use land-cover classification by machine learning classifiers for satellite observations—A review,https://www.mdpi.com/2072-4292/12/7/1135,10.3390/rs12071135,True,Land-use land-cover classification by machine learning classifiers for satellite observations_A review.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Remote Sensing,True,SciDB,"Talukdar, Swapan and Singha, Pankaj and Mahato, Susanta and Shahfahad and Pal, Swades and Liou, Yuei-An and Rahman, Atiqur"
Rapid land cover change in a submerging coastal county,https://link.springer.com/article/10.1007/s13157-020-01328-y,10.1007/s13157-020-01328-y,True,Rapid land cover change in a submerging coastal county.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Wetlands,True,SciDB,"Gedan, Keryn B. and Epanchin-Niell, Rebecca and Qi, Man"
Analyses of land use land cover (LULC) change and built-up expansion in the suburb of a metropolitan city: Spatio-temporal analysis of Delhi NCR using …,https://www.sciencedirect.com/science/article/pii/S2226585620300637,10.1016/j.jum.2020.05.004,True,Analyses of land use land cover _LULC_ change and built-up expansion in the suburb of a metropolitan city_ Spatio-temporal analysis of Delhi NCR using__.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020",Journal of Urban Management,True,SciDB,"Naikoo, Mohd Waseem and Rihan, Mohd and Ishtiaque, Mohammad and Shahfahad"
Land use/land cover change prediction using multi-temporal satellite imagery and multi-layer perceptron markov model,https://isprs-archives.copernicus.org/articles/XLIV-3-W1-2020/99/2020/isprs-archives-XLIV-3-W1-2020-99-2020.html,10.5194/isprs-archives-xliv-3-w1-2020-99-2020,True,Land use_land cover change prediction using multi-temporal satellite imagery and multi-layer perceptron markov model.pdf,2020,"https://scholar.google.com/scholar?hl=en&as_vis=1&as_sdt=1,5&start=%d&q=land use change or land cover change&as_ylo=2020","The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",True,Scholar,"Nguyen, H. T. T. and Pham, T. A. and Doan, M. T. and Tran, P. T. X."
